_id,data,hora,obs,atividade
0,13/08/2021,18:35,Pg 329,Leitura do livro: Bíblia edição pastoral
1,13/08/2021,18:41,Pg 16,Leitura do livro: Todas as histórias do Analista de Bagé (Veríssimo)
2,13/08/2021,20:10,4 Unidades,Duolingo
3,14/08/2021,12:05,Pg 334,Leitura do livro: Bíblia edição pastoral
4,14/08/2021,14:19,Pg 23,Leitura do livro: Todas as histórias do Analista de Bagé (Veríssimo)
5,14/08/2021,18:34,5 Unidades,Duolingo
6,14/08/2021,18:43,Pg 90,Leitura do livro: Cálculo Diferencial e Integral II (Fróes; Fábrega; Geraldini)
7,14/08/2021,19:06,Pg 296,Leitura do livro: Cálculo para leigos (Ryan)
8,14/08/2021,19:35,Pg 150,Leitura do livro: Easy Mathematics Step-by-Step (Clark; McCune)
9,15/08/2021,11:05,Finalizado,Leitura do livro: Todas as histórias do Analista de Bagé (Veríssimo)
10,15/08/2021,13:39,Pg 340,Leitura do livro: Bíblia edição pastoral
11,15/08/2021,15:49,Pg 119,Leitura do livro: Cálculo Diferencial e Integral II (Fróes; Fábrega; Geraldini)
12,15/08/2021,16:07,Pg 308,Leitura do livro: Cálculo para leigos (Ryan)
13,15/08/2021,19:44,2 Tópicos,Grasshopper
14,15/08/2021,19:44,5 Unidades,Duolingo
15,15/08/2021,20:20,Pg 159,Leitura do livro: Easy Mathematics Step-by-Step (Clark; McCune)
16,16/08/2021,18:16,Pg 346,Leitura do livro: Bíblia edição pastoral
17,16/08/2021,17:16,Aula De Reforço 1,SoulCode
18,16/08/2021,19:24,Pg 16,Leitura do livro: O Diário de Anne Frank (Frank)
19,16/08/2021,19:27,1 Tópico,Grasshopper
20,16/08/2021,19:27,4 Unidades,Duolingo
21,16/08/2021,21:16,Pg 323,Leitura do livro: Cálculo para leigos (Ryan)
22,16/08/2021,21:27,Pg 166,Leitura do livro: Easy Mathematics Step-by-Step (Clark; McCune)
23,16/08/2021,21:39,Pg 13,Leitura do livro: Introdução Ao Cálculo Integral (Pinto)
24,17/08/2021,11:51,Pg 351,Leitura do livro: Bíblia edição pastoral
25,17/08/2021,21:08,Pg 22,Leitura do livro: O Diário de Anne Frank (Frank)
26,17/08/2021,17:08,Aula 1 - Cálculo 2,Anhanguera
27,17/08/2021,21:09,Aula De Reforço 2,SoulCode
28,17/08/2021,21:09,3 Unidades,Duolingo
29,17/08/2021,21:09,1 Unidade,Grasshopper
30,17/08/2021,21:09,Pg 341,Leitura do livro: Cálculo para leigos (Ryan)
31,18/08/2021,11:20,Pg 359,Leitura do livro: Bíblia edição pastoral
32,18/08/2021,11:49,7 Unidades,Duolingo
33,18/08/2021,18:34,Pg 37,Leitura do livro: O Diário de Anne Frank (Frank)
34,18/08/2021,16:10,Aula 2 - Cálculo 2,Anhanguera
35,18/08/2021,10:25,Aula De Reforço 3,SoulCode
36,18/08/2021,19:54,Pg 360,Leitura do livro: Cálculo para leigos (Ryan)
37,18/08/2021,20:21,Pg 27,Leitura do livro: Introdução Ao Cálculo Integral (Pinto)
38,19/08/2021,11:57,Aula De Reforço 4,SoulCode
39,19/08/2021,13:19,Pg 362,Leitura do livro: Bíblia edição pastoral
40,19/08/2021,14:01,Pg 51,Leitura do livro: O Diário de Anne Frank (Frank)
41,19/08/2021,14:37,Finalizado,Leitura do livro: Cálculo para leigos (Ryan)
42,19/08/2021,15:15,Pg 39,Leitura do livro: Introdução Ao Cálculo Integral (Pinto)
43,19/08/2021,15:27,4 Unidades,Duolingo
44,19/08/2021,20:06,Pg 133,Leitura do livro: Cálculo Diferencial e Integral II (Fróes; Fábrega; Geraldini)
45,19/08/2021,20:23,Pg 22,Leitura do livro: Um Curso de Cálculo Volume 01 (Guidorizzi)
46,19/08/2021,20:40,Pg 23,Leitura do livro: Pré-Cálculo para leigos (Forseth
47,20/08/2021,07:55,Pg 367,Leitura do livro: Bíblia edição pastoral
48,20/08/2021,08:19,Pg 62,Leitura do livro: O Diário de Anne Frank (Frank)
49,20/08/2021,08:47,Pg 183,Leitura do livro: Easy Mathematics Step-by-Step (Clark; McCune)
50,20/08/2021,14:13,10 Unidades,Duolingo
51,20/08/2021,14:30,Pg 148,Leitura do livro: Cálculo Diferencial e Integral II (Fróes; Fábrega; Geraldini)
52,20/08/2021,12:03,Aula De Reforço 5,SoulCode
53,20/08/2021,19:48,Pg 53,Leitura do livro: Introdução Ao Cálculo Integral (Pinto)
54,20/08/2021,20:32,Pg 32,Leitura do livro: Pré-Cálculo para leigos (Forseth
55,20/08/2021,22:09,Pg 50,Leitura do livro: Python para análise de dados (McKinney)
56,21/08/2021,10:25,Pg 371,Leitura do livro: Bíblia edição pastoral
57,21/08/2021,10:43,Pg 203,Leitura do livro: Easy Mathematics Step-by-Step (Clark; McCune)
58,21/08/2021,11:20,Pg 78,Leitura do livro: O Diário de Anne Frank (Frank)
59,21/08/2021,13:45,Pg 162,Leitura do livro: Cálculo Diferencial e Integral II (Fróes; Fábrega; Geraldini)
60,21/08/2021,13:58,Pg 61,Leitura do livro: Introdução Ao Cálculo Integral (Pinto)
61,21/08/2021,14:24,Aula De Cálculo 1 De 15,Youtube: Aula do Ferreto 
62,21/08/2021,14:59,Pg 42,Leitura do livro: Pré-Cálculo para leigos (Forseth
63,21/08/2021,19:13,5 Unidades,Duolingo
64,21/08/2021,20:32,Pg 86,Leitura do livro: Python para análise de dados (McKinney)
65,22/08/2021,08:54,Pg 376,Leitura do livro: Bíblia edição pastoral
66,22/08/2021,09:51,Pg 102,Leitura do livro: O Diário de Anne Frank (Frank)
67,22/08/2021,10:11,Pg 210,Leitura do livro: Easy Mathematics Step-by-Step (Clark; McCune)
68,22/08/2021,10:37,Aula De Cálculo 2 De 15,Youtube: Aula do Ferreto 
69,22/08/2021,16:04,Pg 175,Leitura do livro: Cálculo Diferencial e Integral II (Fróes; Fábrega; Geraldini)
70,22/08/2021,16:29,Pg 73,Leitura do livro: Introdução Ao Cálculo Integral (Pinto)
71,22/08/2021,17:40,Pg 47,Leitura do livro: Pré-Cálculo para Leigos (Forseth
72,22/08/2021,20:31,Pg 113,Leitura do livro: Python para análise de dados (McKinney)
73,22/08/2021,21:58,Pg 26,Leitura de apostila: Introdução a Python - módulo A
74,23/08/2021,08:24,Pg 381,Leitura do livro: Bíblia edição pastoral
75,23/08/2021,10:30,Pg 121,Leitura do livro: O Diário de Anne Frank (Frank)
76,23/08/2021,10:44,Pg 228,Leitura do livro: Easy Mathematics Step-by-Step (Clark; McCune)
77,23/08/2021,14:07,Pg 83,Leitura do livro: Introdução Ao Cálculo Integral (Pinto)
78,23/08/2021,16:17,Aula 3 - Cálculo 2,Anhanguera
79,23/08/2021,16:54,Aula De Cálculo 3 De 15,Youtube: Aula do Ferreto 
80,23/08/2021,20:04,4 Unidades,Duolingo
81,23/08/2021,20:31,Pg 62,Leitura do livro: Pré-Cálculo para Leigos (Forseth
82,23/08/2021,21:40,Pg 131,Leitura do livro: Python para análise de dados (McKinney)
83,23/08/2021,21:53,Pg 36,Leitura de apostila: Introdução a Python - módulo A
84,24/08/2021,07:57,Pg 390,Leitura do livro: Bíblia edição pastoral
85,24/08/2021,08:28,Pg 242,Leitura do livro: Easy Mathematics Step-by-Step (Clark; McCune)
86,24/08/2021,19:33,Pg 192,Leitura do livro: Cálculo Diferencial e Integral II (Fróes; Fábrega; Geraldini)
87,24/08/2021,20:55,Pg 132,Leitura do livro: O Diário de Anne Frank (Frank)
88,24/08/2021,21:01,1 Unidade,Duolingo
89,24/08/2021,17:58,Aula De Python 1,SoulCode
90,24/08/2021,21:44,Pg 51,Leitura de apostila: Introdução a Python - módulo A
91,24/08/2021,22:18,Pg 138,Leitura do livro: Python para análise de dados (McKinney)
92,25/08/2021,07:49,Pg 399,Leitura do livro: Bíblia edição pastoral
93,25/08/2021,08:02,Pg 254,Leitura do livro: Easy Mathematics Step-by-Step (Clark; McCune)
94,25/08/2021,15:28,2 Unidades,Duolingo
95,25/08/2021,20:24,Pg 153,Leitura do livro: O Diário de Anne Frank (Frank)
96,25/08/2021,20:38,Pg 206,Leitura do livro: Cálculo Diferencial e Integral II (Fróes; Fábrega; Geraldini)
